id,fecha_creacion,prioridad,agente,fecha_asignacion,fecha_resolucion,tiempo_procesamiento,estado
1,2024-01-01 09:00:00,5,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 22:03:17.668161,2025-04-25 22:03:17.668179,2.935,completed
2,2024-01-01 09:00:00,1,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 22:03:05.211465,2025-04-25 22:03:05.211475,0.111,completed
3,2024-02-01 08:40:00,3,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 22:03:11.212488,2025-04-25 22:03:11.212509,1.684,completed
4,2024-01-01 10:00:00,4,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 22:03:15.024574,2025-04-25 22:03:15.024591,2.812,completed
5,2024-01-01 08:00:00,3,db1d3304-de0b-4286-bf9b-28a343c688ed,2025-04-25 22:03:12.957790,2025-04-25 22:03:12.957805,2.804,completed
6,2024-01-01 10:00:00,2,e12cad64-e5be-4daa-b3fd-16d9328012af,2025-04-25 22:03:09.336748,2025-04-25 22:03:09.336758,2.3,completed
7,2024-01-01 10:00:00,1,db1d3304-de0b-4286-bf9b-28a343c688ed,2025-04-25 22:03:05.616680,2025-04-25 22:03:05.616700,0.517,completed
8,2024-01-01 09:00:00,2,db1d3304-de0b-4286-bf9b-28a343c688ed,2025-04-25 22:03:07.946649,2025-04-25 22:03:07.946658,0.15,completed
9,2024-01-01 08:40:00,1,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 22:03:06.020114,2025-04-25 22:03:06.020134,0.914,completed
10,2024-01-01 09:00:00,3,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 22:03:10.226501,2025-04-25 22:03:10.226513,0.016,completed
11,2024-02-01 09:00:00,1,e12cad64-e5be-4daa-b3fd-16d9328012af,2025-04-25 22:03:07.035268,2025-04-25 22:03:07.035278,1.921,completed
12,2024-01-01 09:00:00,5,db1d3304-de0b-4286-bf9b-28a343c688ed,2025-04-25 22:03:15.869466,2025-04-25 22:03:15.869485,0.923,completed
13,2024-01-01 08:40:00,4,e12cad64-e5be-4daa-b3fd-16d9328012af,2025-04-25 22:03:14.768341,2025-04-25 22:03:14.768359,1.96,completed
14,2024-01-01 10:00:00,3,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 22:03:11.779959,2025-04-25 22:03:11.779973,1.551,completed
15,2024-01-01 08:00:00,5,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 22:03:16.759571,2025-04-25 22:03:16.759585,1.732,completed
16,2024-01-01 10:00:00,2,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 22:03:10.207382,2025-04-25 22:03:10.207415,2.361,completed
17,2024-01-01 10:00:00,3,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 22:03:12.210347,2025-04-25 22:03:12.210362,1.777,completed
18,2024-01-01 09:00:00,1,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 22:03:06.669056,2025-04-25 22:03:06.669075,1.455,completed
19,2024-01-01 08:40:00,5,db1d3304-de0b-4286-bf9b-28a343c688ed,2025-04-25 22:03:16.393111,2025-04-25 22:03:16.393123,0.521,completed
20,2024-01-01 09:00:00,2,db1d3304-de0b-4286-bf9b-28a343c688ed,2025-04-25 22:03:08.907704,2025-04-25 22:03:08.907722,0.96,completed
21,2024-01-01 09:00:00,3,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 22:03:13.361862,2025-04-25 22:03:13.361881,2.147,completed
22,2024-01-01 09:00:00,4,db1d3304-de0b-4286-bf9b-28a343c688ed,2025-04-25 22:03:14.944523,2025-04-25 22:03:14.944537,1.984,completed
23,2024-01-01 08:40:00,1,db1d3304-de0b-4286-bf9b-28a343c688ed,2025-04-25 22:03:07.793450,2025-04-25 22:03:07.793472,2.174,completed
24,2024-01-01 10:00:00,1,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 22:03:08.727492,2025-04-25 22:03:08.727513,2.705,completed
25,2024-01-01 08:00:00,2,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 22:03:09.366381,2025-04-25 22:03:09.366389,1.143,completed
26,2024-03-01 10:00:00,5,db1d3304-de0b-4286-bf9b-28a343c688ed,2025-04-25 22:03:17.840372,2025-04-25 22:03:17.840384,1.445,completed
27,2024-01-01 10:00:00,5,e12cad64-e5be-4daa-b3fd-16d9328012af,2025-04-25 22:03:17.421338,2025-04-25 22:03:17.421359,0.94,completed
28,2024-01-01 09:00:00,4,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 22:03:14.265869,2025-04-25 22:03:14.265887,0.901,completed
29,2024-01-01 08:40:00,4,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 22:03:16.666983,2025-04-25 22:03:16.667000,2.399,completed
30,2024-01-01 09:00:00,5,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 22:03:18.945630,2025-04-25 22:03:18.945650,2.276,completed
31,2024-01-01 09:00:00,3,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 22:03:14.731037,2025-04-25 22:03:14.731053,2.949,completed
32,2024-01-01 09:00:00,2,998832a7-bcff-4c76-9234-64f514427da3,2025-04-25 22:03:09.526827,2025-04-25 22:03:09.526842,0.796,completed
33,2024-01-01 08:40:00,1,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 22:03:08.221155,2025-04-25 22:03:08.221172,1.867,completed
34,2024-01-01 10:00:00,2,db1d3304-de0b-4286-bf9b-28a343c688ed,2025-04-25 22:03:10.150957,2025-04-25 22:03:10.150987,1.24,completed
35,2024-01-01 08:00:00,1,6d7092e3-e8a0-415a-a84a-1e01720e00a3,2025-04-25 22:03:07.843008,2025-04-25 22:03:07.843036,1.17,completed
36,2024-01-01 10:00:00,3,e12cad64-e5be-4daa-b3fd-16d9328012af,2025-04-25 22:03:11.990581,2025-04-25 22:03:11.990593,2.652,completed
37,2024-01-01 10:00:00,5,e12cad64-e5be-4daa-b3fd-16d9328012af,2025-04-25 22:03:16.477508,2025-04-25 22:03:16.477526,1.707,completed
38,2024-01-01 09:00:00,4,e12cad64-e5be-4daa-b3fd-16d9328012af,2025-04-25 22:03:12.805217,2025-04-25 22:03:12.805235,0.812,completed
39,2024-02-01 08:40:00,1,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 22:03:06.352627,2025-04-25 22:03:06.352642,1.255,completed
40,2024-01-01 09:00:00,3,846e916d-c300-4f1a-a032-b0b3d379b545,2025-04-25 22:03:10.431277,2025-04-25 22:03:10.431293,1.063,completed
